cdr_vintage,published_yyyy_mm,forecast_year,forecast_summer_peak_mw,row_label_in_source,source_url
May 2010,2010-05,2010,64052.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/2010_Capacity__Demand_and_Reserves.xls
May 2010,2010-05,2011,65206.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/2010_Capacity__Demand_and_Reserves.xls
May 2010,2010-05,2012,66658.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/2010_Capacity__Demand_and_Reserves.xls
May 2010,2010-05,2013,68265.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/2010_Capacity__Demand_and_Reserves.xls
May 2010,2010-05,2014,69451.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/2010_Capacity__Demand_and_Reserves.xls
May 2010,2010-05,2015,70517.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/2010_Capacity__Demand_and_Reserves.xls
Dec 2010 (Winter Update),2010-12,2011,65206.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT-2010-Capacity-Demand-and-Reserves-Report-Winter-Update.xls
Dec 2010 (Winter Update),2010-12,2012,66658.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT-2010-Capacity-Demand-and-Reserves-Report-Winter-Update.xls
Dec 2010 (Winter Update),2010-12,2013,68265.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT-2010-Capacity-Demand-and-Reserves-Report-Winter-Update.xls
Dec 2010 (Winter Update),2010-12,2014,69451.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT-2010-Capacity-Demand-and-Reserves-Report-Winter-Update.xls
Dec 2010 (Winter Update),2010-12,2015,70517.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT-2010-Capacity-Demand-and-Reserves-Report-Winter-Update.xls
Dec 2010 (Winter Update),2010-12,2016,71376.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT-2010-Capacity-Demand-and-Reserves-Report-Winter-Update.xls
May 2011,2011-05,2011,63898.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2012,65665.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2013,67757.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2014,70540.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2015,72591.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2016,74198.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2017,75365.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2018,76654.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2019,77866.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
May 2011,2011-05,2020,79274.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2017/11/03/ERCOT_2011__Capacity_Demand_and_Reserves_Report.xls
Dec 2011 (Winter Update),2011-12,2012,66195.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2013,67168.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2014,70087.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2015,73552.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2016,76001.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2017,77596.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2018,78919.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2019,79411.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2020,81382.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2021,82765.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
Dec 2011 (Winter Update),2011-12,2022,84013.0,"Summer Peak Demand (Normal weather basis), MW",https://www.ercot.com/files/docs/2017/11/03/CDR_2011WinterUpdate.xls
May 2012,2012-05,2013,67168.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2014,70087.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2015,73552.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2016,76001.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2017,77596.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2018,78919.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2019,79411.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2020,81382.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2021,82765.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
May 2012,2012-05,2022,84013.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/05/22/capacitydemandandreservereport_2012.xls
Dec 2012 (Winter),2012-12,2013,67998.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/12/10/capacitydemandandreservesreport_winter_2012_final.xls
Dec 2012 (Winter),2012-12,2014,69807.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/12/10/capacitydemandandreservesreport_winter_2012_final.xls
Dec 2012 (Winter),2012-12,2015,72071.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/12/10/capacitydemandandreservesreport_winter_2012_final.xls
Dec 2012 (Winter),2012-12,2016,74191.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/12/10/capacitydemandandreservesreport_winter_2012_final.xls
Dec 2012 (Winter),2012-12,2017,75409.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/12/10/capacitydemandandreservesreport_winter_2012_final.xls
Dec 2012 (Winter),2012-12,2018,76186.0,"Total Summer Peak Demand, MW",https://www.ercot.com/files/docs/2012/12/10/capacitydemandandreservesreport_winter_2012_final.xls
