gruppe,periode,ist,planzahl
Umsatz Handel,2023-01,336865,374000
Umsatz Handel,2023-02,372101,414000
Umsatz Handel,2023-03,406008,468000
Umsatz Handel,2023-04,508116,523000
Umsatz Handel,2023-05,593528,565000
Umsatz Handel,2023-06,623141,582000
Umsatz Handel,2023-07,514572,572000
Umsatz Handel,2023-08,425779,537000
Umsatz Handel,2023-09,444141,487000
Umsatz Handel,2023-10,401687,436000
Umsatz Handel,2023-11,444236,463000
Umsatz Handel,2023-12,314281,387000
Umsatz Handel,2024-01,373968,364000
Umsatz Handel,2024-02,362578,402000
Umsatz Handel,2024-03,471324,438000
Umsatz Handel,2024-04,482701,549000
Umsatz Handel,2024-05,613189,641000
Umsatz Handel,2024-06,593233,673000
Umsatz Handel,2024-07,557468,556000
Umsatz Handel,2024-08,497154,460000
Umsatz Handel,2024-09,467468,480000
Umsatz Handel,2024-10,416662,434000
Umsatz Handel,2024-11,420072,480000
Umsatz Handel,2024-12,389069,339000
Umsatz Handel,2025-01,402642,404000
Umsatz Handel,2025-02,443101,392000
Umsatz Handel,2025-03,523347,509000
Umsatz Handel,2025-04,495104,521000
Umsatz Handel,2025-05,571176,662000
Umsatz Handel,2025-06,620918,641000
Umsatz Handel,2025-07,565519,602000
Umsatz Handel,2025-08,507339,537000
Umsatz Handel,2025-09,492501,505000
Umsatz Handel,2025-10,478806,450000
Umsatz Handel,2025-11,507697,454000
Umsatz Handel,2025-12,397527,420000
Auslastung Service,2023-01,1467,1615
Auslastung Service,2023-02,1916,1826
Auslastung Service,2023-03,1881,1814
Auslastung Service,2023-04,1715,1758
Auslastung Service,2023-05,2111,2081
Auslastung Service,2023-06,1948,1838
Auslastung Service,2023-07,1445,1531
Auslastung Service,2023-08,1542,1616
Auslastung Service,2023-09,2074,1982
Auslastung Service,2023-10,1923,1867
Auslastung Service,2023-11,1972,1975
Auslastung Service,2023-12,1677,1765
Auslastung Service,2024-01,1814,1840
Auslastung Service,2024-02,1979,1941
Auslastung Service,2024-03,1825,1878
Auslastung Service,2024-04,1806,1854
Auslastung Service,2024-05,1611,1627
Auslastung Service,2024-06,1686,1666
Auslastung Service,2024-07,1324,1350
Auslastung Service,2024-08,1493,1564
Auslastung Service,2024-09,1845,1881
Auslastung Service,2024-10,2156,2137
Auslastung Service,2024-11,1796,1852
Auslastung Service,2024-12,2073,1990
Auslastung Service,2025-01,1629,1702
Auslastung Service,2025-02,1921,1950
Auslastung Service,2025-03,1884,2045
Auslastung Service,2025-04,1756,1722
Auslastung Service,2025-05,1990,1992
Auslastung Service,2025-06,1924,1901
Auslastung Service,2025-07,1738,1664
Auslastung Service,2025-08,1451,1498
Auslastung Service,2025-09,1970,1888
Auslastung Service,2025-10,2404,2258
Auslastung Service,2025-11,1608,1701
Auslastung Service,2025-12,1779,1815
