periode,ist,laufendes_quartal,ein_quartal_vorher,zwei_quartale_vorher
1990-Q1,5441.0,5406.0,5415.0,5430.0
1990-Q2,5452.0,5518.0,5479.5,5506.0
1990-Q3,5514.0,5523.0,5599.0,5560.5
1990-Q4,5519.0,5563.0,5593.0,5687.0
1991-Q1,5562.0,5552.0,5612.5,5682.0
1991-Q2,5620.5,5605.95,5598.0,5668.0
1991-Q3,5670.8,5699.0,5679.6,5683.0
1991-Q4,5736.6,5730.3,5783.0,5769.4
1992-Q1,5809.3,5785.65,5808.7,5876.9
1992-Q2,5893.6,5893.154,5862.25,5890.5
1992-Q3,5967.1,5964.15,5982.9,5953.5
1992-Q4,6061.9,6035.8,6035.15,6077.1
1993-Q1,6158.8,6146.495,6112.2,6112.6
1993-Q2,6206.9,6241.791,6233.7,6195.0
1993-Q3,6396.3,6300.0,6334.8,6327.5
1993-Q4,6510.8,6493.2,6390.8,6432.3
1994-Q1,6609.4,6604.78,6582.15,6486.0747
1994-Q2,6683.6,6716.3,6704.6,6674.4195
1994-Q3,6775.9,6775.268,6813.705,6793.8
1994-Q4,6891.1,6877.1,6873.2,6910.7
1995-Q1,6982.9,6988.959,6974.539,6967.0
1995-Q2,7011.8,7061.877,7083.95,7076.0
1995-Q3,7113.2,7089.1925,7151.75,7176.2485
1995-Q4,7348.1,7190.0435,7184.6225,7250.1
1996-Q1,7430.7,7419.3,7275.65,7278.9555
1996-Q2,7538.1,7532.614,7500.8,7362.65
1996-Q3,7616.0,7635.55,7619.604,7590.889
1996-Q4,7731.7,7705.5,7725.3,7698.38
1997-Q1,7866.0,7821.5445,7802.5,7820.7
1997-Q2,8004.8,7961.9165,7916.25,7891.0
1997-Q3,8131.7,8103.15,8060.0,8001.45
1997-Q4,8241.5,8227.2,8200.6605,8157.0
1998-Q1,8332.2,8332.692,8319.15,8300.0
1998-Q2,8431.7,8413.7385,8411.5,8413.5305
1998-Q3,8526.5,8504.35,8492.098,8497.3
1998-Q4,8672.8,8609.1,8601.75,8582.0
1999-Q1,8807.9,8765.0,8689.8,8690.15
1999-Q2,8893.3,8908.0,8850.926,8762.0
1999-Q3,9276.3,8999.6,9000.7,8938.0
1999-Q4,9477.1,9401.3,9111.5,9103.249
2000-Q1,9697.2,9595.1,9498.543,9195.0
2000-Q2,9937.3,9849.2,9714.0,9609.0
2000-Q3,10063.3,10071.207,9983.4,9835.293
2000-Q4,10125.0,10197.65,10215.0,10120.1
2001-Q1,10243.6,10207.0,10337.2,10350.0
2001-Q2,10217.6,10339.6,10316.8,10472.0
